run,metric,step,value
bf16,eval_loss,401,5.81228
bf16,eval_loss,802,4.72035
bf16,eval_loss,1203,4.2097
bf16,eval_loss,1604,3.87554
bf16,eval_loss,2005,3.67915
bf16,eval_loss,2406,3.55
bf16,eval_loss,2807,3.45275
bf16,eval_loss,3208,3.36554
bf16,eval_loss,3609,3.30675
bf16,eval_loss,4010,3.26989
bf16,eval_loss,4411,3.22055
bf16,eval_loss,4812,3.18317
bf16,eval_loss,5213,3.1593
bf16,eval_loss,5614,3.13352
bf16,eval_loss,6015,3.10523
bf16,eval_loss,6416,3.08894
bf16,eval_loss,6817,3.06108
bf16,eval_loss,7218,3.01115
bf16,eval_loss,7619,3.0004
bf16,eval_loss,8020,2.99394
bf16,eval_loss,8030,2.99053
bf16,eval_loss,8431,2.98814
bf16,eval_loss,8832,2.96641
bf16,eval_loss,9233,2.95337
bf16,eval_loss,9634,2.94162
bf16,eval_loss,10035,2.93148
bf16,eval_loss,10436,2.92258
bf16,eval_loss,10837,2.91401
bf16,eval_loss,11238,2.90245
bf16,eval_loss,11639,2.89408
bf16,eval_loss,12040,2.88362
bf16,eval_loss,12441,2.87827
bf16,eval_loss,12842,2.88088
bf16,eval_loss,13243,2.86402
bf16,eval_loss,13644,2.85172
bf16,eval_loss,14045,2.84223
bf16,eval_loss,14446,2.8373
bf16,eval_loss,14847,2.79823
bf16,eval_loss,15248,2.79904
bf16,eval_loss,15649,2.79786
bf16,eval_loss,16050,2.79308
bf16,eval_loss,16060,2.79222
bf16,eval_loss,16461,2.78806
bf16,eval_loss,16862,2.78685
bf16,eval_loss,17263,2.79386
bf16,eval_loss,17664,2.77828
bf16,eval_loss,18065,2.77254
bf16,eval_loss,18466,2.77229
bf16,eval_loss,18867,2.76433
bf16,eval_loss,19268,2.76374
bf16,eval_loss,19669,2.75838
bf16,eval_loss,20070,2.7491
bf16,eval_loss,20471,2.74585
bf16,eval_loss,20872,2.74289
bf16,eval_loss,21273,2.739
bf16,eval_loss,21674,2.73313
bf16,eval_loss,22075,2.7282
bf16,eval_loss,22476,2.70723
bf16,eval_loss,22877,2.72257
bf16,eval_loss,23278,2.70863
bf16,eval_loss,23679,2.70457
bf16,eval_loss,24080,2.70805
bf16,eval_loss,24090,2.70764
bf16,eval_loss,24491,2.70579
bf16,eval_loss,24892,2.70403
bf16,eval_loss,25293,2.69727
