series,metric,mtokens,value
baseline,train_loss,4.1374,9.460700
baseline,train_loss,8.2749,9.406920
baseline,train_loss,12.4123,9.187260
baseline,train_loss,16.5497,8.328230
baseline,train_loss,20.6872,7.752990
baseline,train_loss,24.8246,7.422080
baseline,train_loss,28.9620,7.150570
baseline,train_loss,33.0995,7.030510
baseline,train_loss,37.2369,6.924790
baseline,train_loss,41.3743,6.903760
baseline,train_loss,45.5118,6.803800
baseline,train_loss,49.6492,6.718280
baseline,train_loss,53.7866,6.681220
baseline,train_loss,57.9241,6.504630
baseline,train_loss,62.0615,6.380860
baseline,train_loss,66.1989,6.294530
baseline,train_loss,70.3364,6.179490
baseline,train_loss,74.4738,6.097540
baseline,train_loss,78.6112,6.018730
baseline,train_loss,82.7487,5.880690
baseline,train_loss,86.8861,5.816930
baseline,train_loss,91.0235,5.699860
baseline,train_loss,95.1610,5.611150
baseline,train_loss,99.2984,5.544050
baseline,train_loss,103.4358,5.524710
baseline,train_loss,107.5733,5.411530
baseline,train_loss,111.7107,5.394090
baseline,train_loss,115.8481,5.292650
baseline,train_loss,119.9856,5.285270
baseline,train_loss,124.1230,5.211730
baseline,train_loss,128.2604,5.155710
baseline,train_loss,132.3979,5.096090
baseline,train_loss,136.5353,5.090470
baseline,train_loss,140.6727,5.083990
baseline,train_loss,144.8102,4.990620
baseline,train_loss,148.9476,4.994580
baseline,train_loss,153.0850,4.973250
baseline,train_loss,157.2225,4.869710
baseline,train_loss,161.3599,4.840860
baseline,train_loss,165.4973,4.855090
baseline,train_loss,169.6348,4.785000
baseline,train_loss,173.7722,4.744650
baseline,train_loss,177.9096,4.758600
baseline,train_loss,182.0471,4.713150
baseline,train_loss,186.1845,4.647430
baseline,train_loss,190.3219,4.617510
baseline,train_loss,194.4594,4.638290
baseline,train_loss,198.5968,4.544840
baseline,train_loss,202.7342,4.566940
baseline,train_loss,206.8717,4.553170
baseline,train_loss,211.0091,4.465520
baseline,train_loss,215.1465,4.461220
baseline,train_loss,219.2840,4.444020
baseline,train_loss,223.4214,4.388400
baseline,train_loss,227.5588,4.392760
baseline,train_loss,231.6963,4.394850
baseline,train_loss,235.8337,4.348220
baseline,train_loss,239.9711,4.312160
baseline,train_loss,244.1086,4.312680
baseline,train_loss,248.2460,4.245390
baseline,train_loss,252.3834,4.214560
baseline,train_loss,256.5209,4.277730
baseline,train_loss,260.6583,4.158600
baseline,train_loss,264.7957,4.192860
baseline,train_loss,268.9332,4.161630
baseline,train_loss,273.0706,4.157420
baseline,train_loss,277.2080,4.114710
baseline,train_loss,281.3455,4.132730
baseline,train_loss,285.4829,4.113500
baseline,train_loss,289.6203,4.053250
baseline,train_loss,293.7578,4.070260
baseline,train_loss,297.8952,4.094580
baseline,train_loss,302.0326,4.014190
baseline,train_loss,306.1701,4.008910
baseline,train_loss,310.3075,4.028590
baseline,train_loss,314.4449,3.963220
baseline,train_loss,318.5824,3.970070
baseline,train_loss,322.7198,3.942370
baseline,train_loss,326.8572,3.959700
baseline,train_loss,330.9947,3.974080
baseline,train_loss,335.1321,3.936030
baseline,train_loss,339.2695,3.896300
baseline,train_loss,343.4070,3.901340
baseline,train_loss,347.5444,3.888870
baseline,train_loss,351.6818,3.878570
baseline,train_loss,355.8193,3.875430
baseline,train_loss,359.9567,3.865250
baseline,train_loss,364.0941,3.832490
baseline,train_loss,368.2316,3.838900
