series,metric,step,value
b0,train_loss,32,9.457840
b0,train_loss,64,9.408040
b0,train_loss,96,9.242430
b0,train_loss,128,8.299320
b0,train_loss,160,7.729810
b0,train_loss,192,7.471370
b0,train_loss,224,7.181440
b0,train_loss,256,7.045660
b0,train_loss,288,6.965990
b0,train_loss,320,6.934780
b0,train_loss,352,6.823200
b0,train_loss,384,6.775980
b0,train_loss,416,6.755640
b0,train_loss,448,6.615120
b0,train_loss,480,6.517460
b0,train_loss,512,6.424360
b0,train_loss,544,6.303630
b0,train_loss,576,6.232240
b0,train_loss,608,6.158360
b0,train_loss,640,6.065640
b0,train_loss,672,5.998150
b0,train_loss,704,5.921070
b0,train_loss,736,5.794820
b0,train_loss,768,5.712580
b0,train_loss,800,5.643850
b0,train_loss,832,5.581340
b0,train_loss,864,5.521570
b0,train_loss,896,5.478050
b0,train_loss,928,5.419330
b0,train_loss,960,5.371700
b0,train_loss,992,5.311090
b0,train_loss,1024,5.309260
b0,train_loss,1056,5.252400
b0,train_loss,1088,5.243080
b0,train_loss,1120,5.184670
b0,train_loss,1152,5.114120
b0,train_loss,1184,5.090150
b0,train_loss,1216,5.064860
b0,train_loss,1248,4.993700
b0,train_loss,1280,4.992480
b0,train_loss,1312,4.969680
b0,train_loss,1344,4.956650
b0,train_loss,1376,4.913820
b0,train_loss,1408,4.918840
b0,train_loss,1440,4.837720
b0,train_loss,1472,4.807320
b0,train_loss,1504,4.759160
b0,train_loss,1536,4.715580
b0,train_loss,1568,4.734030
b0,train_loss,1600,4.675120
b0,train_loss,1632,4.647830
b0,train_loss,1664,4.646330
b0,train_loss,1696,4.569260
b0,train_loss,1728,4.579920
b0,train_loss,1760,4.558120
b0,train_loss,1792,4.541010
b0,train_loss,1824,4.470990
b0,train_loss,1856,4.456760
b0,train_loss,1888,4.513540
b0,train_loss,1920,4.418110
b0,train_loss,1952,4.365120
b0,train_loss,1984,4.424920
b0,train_loss,2016,4.384960
b0,train_loss,2048,4.319940
b0,train_loss,2080,4.322670
b0,train_loss,2112,4.217050
b0,train_loss,2144,4.290420
b0,train_loss,2176,4.272260
b0,train_loss,2208,4.265320
b0,train_loss,2240,4.253620
b0,train_loss,2272,4.252240
b0,train_loss,2304,4.231980
b0,train_loss,2336,4.174190
b0,train_loss,2368,4.149750
b0,train_loss,2400,4.236020
b0,train_loss,2432,4.111170
b0,train_loss,2464,4.132720
b0,train_loss,2496,4.123710
b0,train_loss,2528,4.132500
b0,train_loss,2560,4.103250
b0,train_loss,2592,4.087800
b0,train_loss,2624,4.040300
b0,train_loss,2656,4.086450
b0,train_loss,2688,4.012040
b0,train_loss,2720,4.007880
b0,train_loss,2752,4.024230
b0,train_loss,2784,4.015840
b0,train_loss,2816,4.022060
b0,train_loss,2848,3.977540
b0,train_loss,2880,4.008280
b0,train_loss,2912,3.975410
b0,train_loss,2944,3.951410
b0,train_loss,2976,3.913880
b0,train_loss,3008,3.902950
b0,train_loss,3040,3.913170
b0,train_loss,3072,3.968120
b0,train_loss,3104,3.886970
b0,train_loss,3136,3.879020
b0,train_loss,3168,3.895920
b0,train_loss,3200,3.888680
b0,train_loss,3232,3.875870
b0,train_loss,3264,3.860970
b0,train_loss,3296,3.841280
b0,train_loss,3328,3.849260
b0,train_loss,3360,3.800580
b0,train_loss,3392,3.853370
b0,train_loss,3424,3.825920
b0,train_loss,3456,3.851340
b0,train_loss,3488,3.757950
b0,train_loss,3520,3.816910
b0,train_loss,3552,3.779790
b0,train_loss,3584,3.778210
b0,train_loss,3616,3.747330
b0,train_loss,3648,3.752860
b0,train_loss,3680,3.721520
b0,train_loss,3712,3.760560
b0,train_loss,3744,3.748510
b0,train_loss,3776,3.722390
b0,train_loss,3808,3.720150
b0,train_loss,3840,3.682540
b0,train_loss,3872,3.749960
b0,train_loss,3904,3.684320
b0,train_loss,3936,3.685230
b0,train_loss,3968,3.694610
b0,train_loss,4000,3.711870
b0,train_loss,4032,3.840560
b0,train_loss,4064,3.663700
b0,train_loss,4096,3.688340
b0,train_loss,4128,3.648600
b0,train_loss,4160,3.641680
b0,train_loss,4192,3.648590
b0,train_loss,4224,3.647860
b0,train_loss,4256,3.590620
b0,train_loss,4288,3.593490
b0,train_loss,4320,3.593940
b0,train_loss,4352,3.577750
b0,train_loss,4384,3.550770
b0,train_loss,4416,3.529210
b0,train_loss,4448,3.573560
b0,train_loss,4480,3.517640
b0,train_loss,4512,3.524110
b0,train_loss,4544,3.529220
b0,train_loss,4576,3.538260
b0,train_loss,4608,3.509450
b0,train_loss,4640,3.506830
b0,train_loss,4672,3.511490
b0,train_loss,4704,3.533770
b0,train_loss,4736,3.515480
b0,train_loss,4768,3.495250
b0,train_loss,4800,3.482050
b0,train_loss,4832,3.468730
b0,train_loss,4864,3.497140
b0,train_loss,4896,3.470510
b0,train_loss,4928,3.435860
b0,train_loss,4960,3.450060
b0,train_loss,4992,3.455050
b0,train_loss,5024,3.430090
b0,train_loss,5056,3.465130
b0,train_loss,5088,3.474920
b0,train_loss,5120,3.413980
b0,train_loss,5152,3.402580
b0,train_loss,5184,3.457050
b0,train_loss,5216,3.421570
b0,train_loss,5248,3.397960
b0,train_loss,5280,3.430790
b0,train_loss,5312,3.372320
b0,train_loss,5344,3.395600
b0,train_loss,5376,3.394140
b0,train_loss,5408,3.429690
b0,train_loss,5440,3.432850
b0,train_loss,5472,3.415790
b0,train_loss,5504,3.379270
b0,train_loss,5536,3.362440
b0,train_loss,5568,3.350940
b0,train_loss,5600,3.324260
b0,train_loss,5632,3.330020
b0,train_loss,5664,3.369180
b0,train_loss,5696,3.353420
b0,train_loss,5728,3.346510
b0,train_loss,5760,3.306360
b0,train_loss,5792,3.359990
b0,train_loss,5824,3.297680
b0,train_loss,5856,3.316000
b0,train_loss,5888,3.316340
b0,train_loss,5920,3.334780
b0,train_loss,5952,3.297670
b0,train_loss,5984,3.293790
b0,train_loss,6016,3.302490
b0,train_loss,6048,3.305740
b0,train_loss,6080,3.275430
b0,train_loss,6112,3.251550
b0,train_loss,6144,3.294330
b0,train_loss,6176,3.259700
b0,train_loss,6208,3.280180
b0,train_loss,6240,3.230560
b0,train_loss,6272,3.276830
b0,train_loss,6304,3.298880
b0,train_loss,6336,3.217200
b0,train_loss,6368,3.261710
b0,train_loss,6400,3.248550
b0,train_loss,6432,3.256160
b0,train_loss,6464,3.262530
b0,train_loss,6496,3.247930
b0,train_loss,6528,3.257430
b0,train_loss,6560,3.201820
b0,train_loss,6592,3.252690
b0,train_loss,6624,3.284680
b0,train_loss,6656,3.232010
b0,train_loss,6688,3.239310
b0,train_loss,6720,3.199650
b0,train_loss,6752,3.206440
b0,train_loss,6784,3.205700
b0,train_loss,6816,3.184550
b0,train_loss,6848,3.193450
b0,train_loss,6880,3.220830
b0,train_loss,6912,3.225640
b0,train_loss,6944,3.200120
b0,train_loss,6976,3.178110
b0,train_loss,7008,3.246670
b0,train_loss,7040,3.169880
b0,train_loss,7072,3.223510
b0,train_loss,7104,3.179000
b0,train_loss,7136,3.205440
b0,train_loss,7168,3.177900
b0,train_loss,7200,3.155760
b0,train_loss,7232,3.180620
b0,train_loss,7264,3.196720
b0,train_loss,7296,3.171600
b0,train_loss,7328,3.187910
b0,train_loss,7360,3.207150
b0,train_loss,7392,3.195670
b0,train_loss,7424,3.159580
b0,train_loss,7456,3.181480
b0,train_loss,7488,3.126220
b0,train_loss,7520,3.132270
b0,train_loss,7552,3.115120
b0,train_loss,7584,3.127980
b0,train_loss,7616,3.198030
b0,train_loss,7648,3.152870
b0,train_loss,7680,3.139120
b0,train_loss,7712,3.195470
b0,train_loss,7744,3.180600
b0,train_loss,7776,3.193950
b0,train_loss,7808,3.156870
b0,train_loss,7840,3.166770
b0,train_loss,7872,3.167220
b0,train_loss,7904,3.135230
b0,train_loss,7936,3.175510
b0,train_loss,7968,3.157660
b0,train_loss,8000,3.139620
b0,train_loss,8032,3.184600
b0,train_loss,8064,3.188040
b0,train_loss,8096,3.114640
b0,train_loss,8128,3.162130
b0,train_loss,8160,3.131130
b0,train_loss,8192,3.168610
b0,train_loss,8224,3.183440
b0,train_loss,8256,3.109680
b0,train_loss,8288,3.155770
b0,train_loss,8320,3.129610
b0,train_loss,8352,3.145810
b0,train_loss,8384,3.165650
b0,train_loss,8416,3.158350
b0,train_loss,8448,3.121310
b0,train_loss,8480,3.163480
b0,train_loss,8512,3.163910
b0,train_loss,8544,3.159540
b0,train_loss,8576,3.122040
b0,train_loss,8608,3.139640
b0,train_loss,8640,3.163090
b0,train_loss,8672,3.143350
b0,train_loss,8704,3.139590
b0,train_loss,8736,3.132540
b0,train_loss,8768,3.142620
b0,train_loss,8800,3.135100
b0,train_loss,8832,3.138600
b0,train_loss,8864,3.137650
b0,train_loss,8896,3.112230
b0,train_loss,8928,3.133230
b0,train_loss,8960,3.148580
b0,train_loss,8992,3.118560
b0,train_loss,9024,3.114450
b0,train_loss,9056,3.094820
b0,train_loss,9088,3.041400
b0,train_loss,9120,3.125090
b0,train_loss,9152,3.099760
b0,train_loss,9184,3.122960
b0,train_loss,9216,3.123840
b0,train_loss,9248,3.081270
b0,train_loss,9280,3.079530
b0,train_loss,9312,3.100560
b0,train_loss,9344,3.053960
b0,train_loss,9376,3.123850
b0,train_loss,9408,3.061590
b0,train_loss,9440,3.060990
b0,train_loss,9472,3.063810
b0,train_loss,9504,3.080760
b0,train_loss,9536,3.104890
b0,train_loss,9568,3.093580
b0,train_loss,9600,3.105790
b0,train_loss,9632,3.079110
b0,train_loss,9664,3.075520
b0,train_loss,9696,3.091760
b0,train_loss,9728,3.129150
b0,train_loss,9760,3.112330
b0,train_loss,9792,3.092230
b0,train_loss,9824,3.091870
b0,train_loss,9856,3.069270
b0,train_loss,9888,3.092590
b0,train_loss,9920,3.082870
b0,train_loss,9952,3.040100
b0,train_loss,9984,3.067170
b0,train_loss,10016,3.069200
b0,train_loss,10048,3.063500
b0,train_loss,10080,3.069240
b0,train_loss,10112,3.064360
b0,train_loss,10144,3.106920
b0,train_loss,10176,3.056900
b0,train_loss,10208,3.092850
b0,train_loss,10240,3.089430
b0,train_loss,10272,3.026430
b0,train_loss,10304,3.067130
b0,train_loss,10336,3.045600
b0,train_loss,10368,3.057750
b0,train_loss,10400,3.095110
b0,train_loss,10432,3.034310
b0,train_loss,10464,3.043310
b0,train_loss,10496,3.074550
b0,train_loss,10528,3.047340
b0,train_loss,10560,3.030230
b0,train_loss,10592,3.034800
b0,train_loss,10624,3.095700
b0,train_loss,10656,3.066200
b0,train_loss,10688,3.049650
